seed,condition,training_blocks,p_choose_A,value_A,value_B
2,frozen,1,0.5,0.0,0.0
2,frozen,2,0.5,0.0,0.0
2,frozen,3,0.5,0.0,0.0
2,frozen,4,0.5,0.0,0.0
2,frozen,5,0.5,0.0,0.0
2,frozen,6,0.5,0.0,0.0
2,frozen,7,0.5,0.0,0.0
2,frozen,8,0.5,0.0,0.0
2,frozen,9,0.5,0.0,0.0
2,frozen,10,0.5,0.0,0.0
2,frozen,11,0.5,0.0,0.0
2,frozen,12,0.5,0.0,0.0
2,frozen,13,0.5,0.0,0.0
2,frozen,14,0.5,0.0,0.0
2,frozen,15,0.5,0.0,0.0
2,frozen,16,0.5,0.0,0.0
2,frozen,17,0.5,0.0,0.0
2,frozen,18,0.5,0.0,0.0
2,frozen,19,0.5,0.0,0.0
2,frozen,20,0.5,0.0,0.0
2,frozen,21,0.5,0.0,0.0
2,frozen,22,0.5,0.0,0.0
2,frozen,23,0.5,0.0,0.0
2,frozen,24,0.5,0.0,0.0
2,frozen,25,0.5,0.0,0.0
2,frozen,26,0.5,0.0,0.0
2,frozen,27,0.5,0.0,0.0
2,frozen,28,0.5,0.0,0.0
2,frozen,29,0.5,0.0,0.0
2,frozen,30,0.5,0.0,0.0
2,frozen,31,0.5,0.0,0.0
2,frozen,32,0.5,0.0,0.0
2,frozen,33,0.5,0.0,0.0
2,frozen,34,0.5,0.0,0.0
2,frozen,35,0.5,0.0,0.0
2,frozen,36,0.5,0.0,0.0
2,frozen,37,0.5,0.0,0.0
2,frozen,38,0.5,0.0,0.0
2,frozen,39,0.5,0.0,0.0
2,frozen,40,0.5,0.0,0.0
2,nonselective_reward,0,0.5,0.0,0.0
2,nonselective_reward,1,0.49949221128827165,0.04667826086956506,0.047084491978609644
2,nonselective_reward,2,0.4990445455945001,0.09096581565217376,0.091730180106952
2,nonselective_reward,3,0.4986514771802336,0.1329993409224347,0.13407816179405374
2,nonselective_reward,4,0.49830794570706777,0.17290682800281143,0.1742604766045871
2,nonselective_reward,5,0.4980093185853277,0.210808182679739,0.21240073622616717
2,nonselective_reward,6,0.4977513562807122,0.24681578115030145,0.2486147082539204
2,nonselective_reward,7,0.4975301803585448,0.28103498550106554,0.28301085728478204
2,nonselective_reward,8,0.4973422440588934,0.31356462176701183,0.31569084654530544
2,nonselective_reward,9,0.49718430520935364,0.3444974233845389,0.3467500030289379
2,nonselective_reward,10,0.4970534012954653,0.3739204426366892,0.3762777488901422
2,nonselective_reward,11,0.49694682652143624,0.4019154324896512,0.4043580016318812
2,nonselective_reward,12,0.49686211070593916,0.4285592010359137,0.43106954542847864
2,nonselective_reward,13,0.4967969998692082,0.4539239405900112,0.45648637574644146
2,nonselective_reward,14,0.49674943837842866,0.478077533326455,0.48067801926029385
2,nonselective_reward,15,0.4967175525285012,0.5010838352052135,0.5037098309077652
2,nonselective_reward,16,0.4966996354446844,0.5230029397970153,0.5256432697877756
2,nonselective_reward,17,0.49669413320237343,0.5438914234979442,0.5465361554746662
2,nonselective_reward,18,0.4966996320674136,0.5638025735094796,0.5664429062021743
2,nonselective_reward,19,0.49671484676788297,0.5827865998555597,0.585414760259977
2,nonselective_reward,20,0.4967386097152576,0.6008908326117381,0.6034999818434859
2,nonselective_reward,21,0.4967698610993276,0.6181599054324382,0.6207440525033319
2,nonselective_reward,22,0.4968076397871807,0.6346359263800967,0.6371898492539909
2,nonselective_reward,23,0.4968510749620837,0.6503586369841166,0.6528778103207217
2,nonselective_reward,24,0.4968993784431496,0.6653655603874923,0.6678460894298909
2,nonselective_reward,25,0.4969518376313687,0.6796921393743263,0.6821306994793687
