bodyId,type,instance,class,somaSide
81589,KCab-m,KCab-m_L,Kenyon_Cell,L
81601,KCg-m,KCg-m_R,Kenyon_Cell,R
81606,KCg-m,KCg-m_R,Kenyon_Cell,R
81628,KCg-m,KCg-m_R,Kenyon_Cell,R
81630,KCg-m,KCg-m_L,Kenyon_Cell,L
81631,KCab-p,KCab-p_L,Kenyon_Cell,L
81645,KCab-c,KCab-c_L,Kenyon_Cell,L
81651,KCg-m,KCg-m_R,Kenyon_Cell,R
81656,KCg-d,KCg-d_R,Kenyon_Cell,R
81657,KCab-m,KCab-m_R,Kenyon_Cell,R
81671,KCg-m,KCg-m_L,Kenyon_Cell,L
81700,KCab-m,KCab-m_R,Kenyon_Cell,R
81740,KCg-m,KCg-m_L,Kenyon_Cell,L
81781,KCg-d,KCg-d_L,Kenyon_Cell,L
81820,KCg-m,KCg-m_R,Kenyon_Cell,R
81851,KCab-s,KCab-s_R,Kenyon_Cell,R
81885,KCab-p,KCab-p_R,Kenyon_Cell,R
81925,KCab-s,KCab-s_L,Kenyon_Cell,L
81934,KCab-c,KCab-c_R,Kenyon_Cell,R
81956,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
81967,KCg-m,KCg-m_R,Kenyon_Cell,R
81968,KCab-c,KCab-c_L,Kenyon_Cell,L
81976,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
81979,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
82025,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
82028,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
82062,KCab-m,KCab-m_R,Kenyon_Cell,R
82068,KCab-s,KCab-s_R,Kenyon_Cell,R
82118,KCg-m,KCg-m_R,Kenyon_Cell,R
82132,KCg-m,KCg-m_R,Kenyon_Cell,R
82161,KCg-m,KCg-m_R,Kenyon_Cell,R
82188,KCg-m,KCg-m_R,Kenyon_Cell,R
82192,KCg-m,KCg-m_L,Kenyon_Cell,L
82210,KCab-c,KCab-c_R,Kenyon_Cell,R
82225,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
82284,KCg-m,KCg-m_R,Kenyon_Cell,R
82292,KCg-m,KCg-m_L,Kenyon_Cell,L
82296,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
82315,KCab-c,KCab-c_R,Kenyon_Cell,R
82319,KCab-c,KCab-c_L,Kenyon_Cell,L
82358,KCab-s,KCab-s_R,Kenyon_Cell,R
82386,KCg-m,KCg-m_R,Kenyon_Cell,R
82399,KCg-m,KCg-m_L,Kenyon_Cell,L
82440,KCg-m,KCg-m_R,Kenyon_Cell,R
82460,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
82472,KCab-c,KCab-c_R,Kenyon_Cell,R
82474,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
82480,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
82538,KCab-m,KCab-m_R,Kenyon_Cell,R
82543,KCg-m,KCg-m_L,Kenyon_Cell,L
82570,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
82582,KCg-m,KCg-m_R,Kenyon_Cell,R
82594,KCab-s,KCab-s_L,Kenyon_Cell,L
82635,KCab-s,KCab-s_R,Kenyon_Cell,R
82646,KCg-m,KCg-m_L,Kenyon_Cell,L
82648,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
82652,KCab-m,KCab-m_R,Kenyon_Cell,R
82672,KCg-m,KCg-m_L,Kenyon_Cell,L
82673,KCab-s,KCab-s_R,Kenyon_Cell,R
82693,KCg-m,KCg-m_L,Kenyon_Cell,L
82728,KCg-d,KCg-d_L,Kenyon_Cell,L
82744,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
82761,KCg-m,KCg-m_L,Kenyon_Cell,L
82789,KCab-s,KCab-s_R,Kenyon_Cell,R
82798,KCab-s,KCab-s_R,Kenyon_Cell,R
82804,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
82895,KCg-m,KCg-m_R,Kenyon_Cell,R
82904,KCg-m,KCg-m_L,Kenyon_Cell,L
82906,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
82911,KCab-c,KCab-c_R,Kenyon_Cell,R
82939,KCg-m,KCg-m_R,Kenyon_Cell,R
82996,KCg-m,KCg-m_L,Kenyon_Cell,L
83052,KCab-p,KCab-p_R,Kenyon_Cell,R
83058,KCg-m,KCg-m_L,Kenyon_Cell,L
83072,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
83089,KCab-m,KCab-m_L,Kenyon_Cell,L
83091,KCab-m,KCab-m_L,Kenyon_Cell,L
83094,KCab-m,KCab-m_R,Kenyon_Cell,R
83095,KCab-m,KCab-m_L,Kenyon_Cell,L
83108,KCab-m,KCab-m_L,Kenyon_Cell,L
83121,KCab-c,KCab-c_L,Kenyon_Cell,L
83162,KCg-m,KCg-m_R,Kenyon_Cell,R
83166,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
83168,KCab-s,KCab-s_R,Kenyon_Cell,R
83181,KCab-s,KCab-s_R,Kenyon_Cell,R
83221,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
83270,KCg-m,KCg-m_L,Kenyon_Cell,L
83278,KCab-m,KCab-m_R,Kenyon_Cell,R
83329,KCab-m,KCab-m_R,Kenyon_Cell,R
83341,KCg-m,KCg-m_R,Kenyon_Cell,R
83352,KCab-c,KCab-c_L,Kenyon_Cell,L
83360,KCg-m,KCg-m_R,Kenyon_Cell,R
83371,KCg-m,KCg-m_L,Kenyon_Cell,L
83392,KCab-m,KCab-m_R,Kenyon_Cell,R
83413,KCab-c,KCab-c_L,Kenyon_Cell,L
83418,KCab-c,KCab-c_R,Kenyon_Cell,R
83456,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
83481,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
83489,KCab-s,KCab-s_L,Kenyon_Cell,L
83494,KCg-m,KCg-m_R,Kenyon_Cell,R
83557,KCab-m,KCab-m_R,Kenyon_Cell,R
83563,KCab-c,KCab-c_R,Kenyon_Cell,R
83576,KCg-m,KCg-m_R,Kenyon_Cell,R
83584,KCg-d,KCg-d_R,Kenyon_Cell,R
83604,KCab-s,KCab-s_R,Kenyon_Cell,R
83608,KCg-m,KCg-m_R,Kenyon_Cell,R
83611,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
83612,KCab-c,KCab-c_R,Kenyon_Cell,R
83624,KCab-s,KCab-s_R,Kenyon_Cell,R
83632,KCab-c,KCab-c_R,Kenyon_Cell,R
83656,KCab-m,KCab-m_L,Kenyon_Cell,L
83678,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
83684,KCab-s,KCab-s_R,Kenyon_Cell,R
83691,KCg-m,KCg-m_L,Kenyon_Cell,L
83715,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
83737,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
83743,KCab-s,KCab-s_R,Kenyon_Cell,R
83777,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
83783,KCg-m,KCg-m_L,Kenyon_Cell,L
83807,KCab-c,KCab-c_R,Kenyon_Cell,R
83820,KCg-m,KCg-m_R,Kenyon_Cell,R
83833,KCg-m,KCg-m_R,Kenyon_Cell,R
